CountryCodeID,CountryCode,CountryName,ProductID,ProductName,DataTypeID,Unit,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,ColourCode
272,IS,Israel,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,6.9,8.2,2.4,2.6,2.5,2.3,2.0,1.5,1.5,1.4,3.1,2.5,2.4,2.12,,,,,,,,,,,,,,,,,,
273,IT,Italy,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,7.8,6.7,6.5,6.7,6.6,5.3,4.9,5.8,6.3,9.5,10.0,11.7,14.05,15.46,,,,,,,,,,,,,,,,,,
274,JM,Jamaica,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,JP,Japan,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,5.3,8.4,7.4,5.2,2.9,1.8,1.5,1.5,1.4,1.6,2.5,2.4,1.96,1.79,,,,,,,,,,,,,,,,,,
275,JO,Jordan,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,18.4,19.3,17.1,15.5,10.3,6.6,4.3,4.1,4.2,6.7,8.2,8.5,7.56,7.14,,,,,,,,,,,,,,,,,,
279,KK,Kazakhstan,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,21.2,23.8,30.8,31.7,33.08,,,,,,,,,,,,,,,,,,
283,KY,Kenya,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,33.3,13.1,18.1,34.9,29.3,25.6,18.1,10.6,9.0,7.9,6.3,4.4,3.28,2.97,,,,,,,,,,,,,,,,,,
278,KB,Kiribati,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,KS,Kosovo,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.4,5.9,5.7,6.4,5.69,,,,,,,,,,,,,,,,,,
282,KW,Kuwait,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,19.2,10.3,7.8,6.1,5.3,4.1,4.6,3.8,6.8,11.5,8.9,7.3,7.10,8.14,,,,,,,,,,,,,,,,,,
284,KZ,Kyrgyzstan,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,5.3,8.2,15.8,10.2,12.46,11.15,,,,,,,,,,,,,,,,,,
166,AO,Laos,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,LA,Latvia,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,4.6,2.8,2.0,1.4,1.1,0.7,0.5,0.8,2.1,14.3,15.9,13.9,11.0,8.68,,,,,,,,,,,,,,,,,,
286,LB,Lebanon,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,7.8,10.0,12.4,15.5,17.7,16.4,13.5,10.1,7.5,6.0,4.3,3.7,3.7,3.68,,,,,,,,,,,,,,,,,,
293,LO,Lesotho,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,1.4,2.1,3.2,3.1,2.2,2.5,2.91,,,,,,,,,,,,,,,,,,
288,LE,Liberia,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
